iter	RMSE
0	75974.29393
1	74609.25171
2	73282.05787
3	71952.04259
4	70648.68869
5	69340.19593
6	68139.75833
7	66987.8664
8	65919.56635
9	64876.30941
10	63745.77336
11	62726.32458
12	61723.95222
13	60826.9604
14	59836.75098115	58924.75097116	58039.53621117	57120.0276
18	56386.27374
19	54227.0849
20	53428.22745
21	52639.52329
22	51806.08227
23	51017.11703
24	50242.0386
25	49469.81344
2626	50339.78222727	49624.940828	47322.63118
29	46642.70039
30	46006.42796
31	45391.75812
32	44810.83352
33	44146.54443
34	43603.96665
35	43032.47428
36	42533.45667
37	42079.92466
38	41595.88143
39	41049.55546
40	40590.01895
4141	42752.23024242	42320.23554343	41863.32904444	41347.57884545	40854.19946	46	40411.16747	47	40045.23148	37060.00083
49	36642.08991
50	36241.45345
51	51	38460.30452	52	38051.62853	53	37653.58354	54	37302.23324
55	36988.07462
56	36653.12551
57	36297.8658	358	35995.8759	59	35687.20353
60	35371.44999
61	35082.26877
62	34737.0969
63	34420.10989
64	34119.84835
65	33769.73621
66	33464.10411
67	33149.78407
68	32868.28881
69	32578.84153
70	32300.01222
71	31990.78215
72	31756.1015
73	31478.22688
74	31238.63015
75	30990.11966
76	30782.35642
77	30523.7666
78	30340.78487
79	30133.09793
80	29891.38287
81	29673.35419882	29426.92124
83	29239.96654884	29020.9586
85	28837.17669
86	28639.34055
87	28467.00538
88	28248.36026
89	28189	26463.90	27928.17464991	27787.25433992	27692	25948.93	27493	25807.94	2794	25643.095	2795	25485.96	27000.56503
97	26861.93034
98	26745.66836
99	26587.04356
100	26457.08699
101	26324.73183
102	26176.98012
103	26017.64412
104	25896.62918
105	25785.12594
106	25106	24015.107	25107	23913108	24921.65126
109	247109	23653110	24727.25997
111	246111	23378112	245112	23271113	24494.26952
114	24331.1346
115	24226.07039
116	24107.01393
117	24012.89201
118	23888.67068
119	2381119	2254120	2372120	2250121	2358121	223122	23478122	222123	23373123	221124	23294124	22073.75769
125	21971.00038
126	21862.52293
127	21775.88475
128	21664.2236
129	21552.72724
130	21474.10818
131	21386.69503
132	21364.41078
133	21275.146213134	21188.31011135	21100.159411136	21021.264161137	20963.581231138	20879.49786140	20926.32803
141	20848.67137
142	20779.61274
143	20715.94593
144	20642.22073
145	20581.96476
146	20525.51752
147	20449.87452
148	20385.94991
149	20321.02756
150	20249.863811151	20180.120581152	20121.147741153	20058.418
154	20007.28187
155	19962.41934
156	19909.156	21157	19828157	201158	19764158	201159	19708159	201160	19664160	201161	19587161	201162	19532162	20162	19462.163	20163	19403.164	20164	19351.165	20165	19290.166	201167	19291167	216168	19244168	2168	19190.8169	216170	19154170	21171	19118.171	2171	19020.5172	2172	18995.7173	19985.07508
174	1174	18888.3175	1175	18829.4176	1176	18772.0177	177	18719.4178	178	18663.59179	179	18612.70180	180	18589.09181	181	18573.4182	1182	18501.3183	1183	18446.27753
184	18427.0185	1185	18386.3186	1186	18347.1187	1187	18291.6188	1188	18217.2189	11190	18410190	191191	18354191	191192	18340192	19193	18308.193	19194	18270.194	19100.30447
195	19072.69983
196	19044.50462
197	19009.46162
198	18929.44334
199	18866.67591
200	18200	17722.201	18201	17677202	187202	17652203	187203	1764204	1872204	1761205	186205	17578206	186206	17557207	186207	1751208	1860208	1746209	1858209	17431.85283
210	17368.69386
211	17348.54209
212	17297.48117
213	17270.06376
214	17231.71391
215	17197.94193
216	17159.79201
217	17130.05706
218	17096.25634
219	17061.98002
220	17006.17403
221	16967.13758
222	16924.80014
223	16888.42003
224	16848.42279
225	16811.7767
226	16768.20261
227	16734.99809
228	16684.7256
229	16648.90235
230	16630.70706
231	16597.15111
232	16556.89218
233	16515.24366
234	16479.42099
235	16443.70288
236	16405.47303
237	16366.74612
238	16330.47427
239	16282.30977
240	16252.79714
241	16214.9943
242	16187.45059
243	16145.67893
244	16108.71263
245	16096.45237
246	16062.04348
247	16019.52888
248	15981.50601
249	15947.03792
250	15918.94829
251	15885.74663
252	15869.01015
253	15846.00393
254	15813.75037
255	15787.18929
256	15750.28741
257	15707.18906
258	15681.15936
259	15651.14671
260	15609.7204
261	15573.97646
262	15546.23804
263	15516.16903
264	15488.49092
265	15456.88815
266	15421.51314
267	15399.16798
268	15369.70563
269	15337.10788
270	15297.60795
271	15263.09011
272	15236.4621
273	15221.27749
274	15179.72412
275	15132.15049
276	15112.14259
277	15092.31069
278	15056.67325
279	15025.34949
280	15016.55891
281	15006.45719
282	14981.73938
283	14969.91712
284	14936.7548
285	14926.12164
286	14896.01989
287	14857.7702
288	14849.69709
289	14838.57387
290	14803.91762
291	14770.61291
292	14744.85484
293	14726.03168
294	14696.91778
296	15555.05629
297	15548.27428
297	14638.48466
298	14630.03209
299	14616.18639
